ts_id,material_id,geography_id,time_level_id
27803,83498,30201,5
27804,83499,30201,5
27805,83500,30201,5
27806,83501,30201,5
27807,83502,30201,5
27808,83498,30202,5
27809,83499,30202,5
27810,83500,30202,5
27811,83501,30202,5
27812,83502,30202,5
27813,83498,30203,5
27814,83499,30203,5
27815,83500,30203,5
27816,83501,30203,5
27817,83502,30203,5
27818,83498,30204,5
27819,83499,30204,5
27820,83500,30204,5
27821,83501,30204,5
27822,83502,30204,5
27823,83498,30205,5
27824,83499,30205,5
27825,83500,30205,5
27826,83501,30205,5
27827,83502,30205,5
27828,83498,30206,5
27829,83499,30206,5
27830,83500,30206,5
27363,83498,30113,5
27364,83499,30113,5
27365,83500,30113,5
27366,83501,30113,5
27367,83502,30113,5
27368,83498,30114,5
27369,83499,30114,5
27370,83500,30114,5
27371,83501,30114,5
27372,83502,30114,5
27373,83498,30115,5
27374,83499,30115,5
27375,83500,30115,5
27376,83501,30115,5
27377,83502,30115,5
27378,83498,30116,5
27379,83499,30116,5
27380,83500,30116,5
27381,83501,30116,5
27382,83502,30116,5
27383,83498,30117,5
27384,83499,30117,5
27385,83500,30117,5
27386,83501,30117,5
27387,83502,30117,5
27388,83498,30118,5
27389,83499,30118,5
27390,83500,30118,5
27391,83501,30118,5
27392,83502,30118,5
27393,83498,30119,5
27394,83499,30119,5
27395,83500,30119,5
27396,83501,30119,5
27397,83502,30119,5
27398,83498,30120,5
27399,83499,30120,5
27400,83500,30120,5
27401,83501,30120,5
27402,83502,30120,5
27403,83498,30121,5
27404,83499,30121,5
27405,83500,30121,5
27406,83501,30121,5
27407,83502,30121,5
27408,83498,30122,5
27409,83499,30122,5
27410,83500,30122,5
27411,83501,30122,5
27412,83502,30122,5
27413,83498,30123,5
27414,83499,30123,5
27415,83500,30123,5
27416,83501,30123,5
27417,83502,30123,5
27418,83498,30124,5
27419,83499,30124,5
27420,83500,30124,5
27421,83501,30124,5
27422,83502,30124,5
27423,83498,30125,5
27424,83499,30125,5
27425,83500,30125,5
27426,83501,30125,5
27427,83502,30125,5
27428,83498,30126,5
27429,83499,30126,5
27430,83500,30126,5
27431,83501,30126,5
27432,83502,30126,5
27433,83498,30127,5
27434,83499,30127,5
27435,83500,30127,5
27436,83501,30127,5
27437,83502,30127,5
27438,83498,30128,5
27439,83499,30128,5
27440,83500,30128,5
27441,83501,30128,5
27442,83502,30128,5
27443,83498,30129,5
27444,83499,30129,5
27445,83500,30129,5
27446,83501,30129,5
27447,83502,30129,5
27448,83498,30130,5
27449,83499,30130,5
27450,83500,30130,5
27451,83501,30130,5
27452,83502,30130,5
27453,83498,30131,5
27454,83499,30131,5
27455,83500,30131,5
27456,83501,30131,5
27457,83502,30131,5
27458,83498,30132,5
27459,83499,30132,5
27460,83500,30132,5
27461,83501,30132,5
27462,83502,30132,5
27463,83498,30133,5
27464,83499,30133,5
27465,83500,30133,5
27466,83501,30133,5
27467,83502,30133,5
27468,83498,30134,5
27469,83499,30134,5
27470,83500,30134,5
27471,83501,30134,5
27472,83502,30134,5
27473,83498,30135,5
27474,83499,30135,5
27475,83500,30135,5
27476,83501,30135,5
27477,83502,30135,5
27478,83498,30136,5
27479,83499,30136,5
27480,83500,30136,5
27481,83501,30136,5
27482,83502,30136,5
27483,83498,30137,5
27484,83499,30137,5
27485,83500,30137,5
27486,83501,30137,5
27487,83502,30137,5
27488,83498,30138,5
27489,83499,30138,5
27490,83500,30138,5
27491,83501,30138,5
27492,83502,30138,5
27493,83498,30139,5
27494,83499,30139,5
27495,83500,30139,5
27496,83501,30139,5
27497,83502,30139,5
27498,83498,30140,5
27499,83499,30140,5
27500,83500,30140,5
27501,83501,30140,5
27502,83502,30140,5
27503,83498,30141,5
27504,83499,30141,5
27505,83500,30141,5
27506,83501,30141,5
27507,83502,30141,5
27508,83498,30142,5
27509,83499,30142,5
27510,83500,30142,5
27511,83501,30142,5
27512,83502,30142,5
27513,83498,30143,5
27514,83499,30143,5
