ts_data_id,ts_id,dttime,data,version_id
44471796,27902,2020-10-01 00:00:00,10549.207,130
44471774,27902,2018-12-01 00:00:00,11513.37,130
44471775,27902,2019-01-01 00:00:00,11556.125,130
44471776,27902,2019-02-01 00:00:00,11598.547,130
44471777,27902,2019-03-01 00:00:00,11643.222,130
44471778,27902,2019-04-01 00:00:00,11687.96,130
44471779,27902,2019-05-01 00:00:00,11732.147,130
44471780,27902,2019-06-01 00:00:00,11775.567,130
44471781,27902,2019-07-01 00:00:00,11820.099,130
44471782,27902,2019-08-01 00:00:00,11863.516,130
44471783,27902,2019-09-01 00:00:00,11907.183,130
44471784,27902,2019-10-01 00:00:00,11949.934,130
44471785,27902,2019-11-01 00:00:00,11994.433,130
44471786,27902,2019-12-01 00:00:00,12038.495,130
44471787,27902,2020-01-01 00:00:00,11890.158,130
44471788,27902,2020-02-01 00:00:00,11741.922,130
44471789,27902,2020-03-01 00:00:00,11592.161,130
44471790,27902,2020-04-01 00:00:00,11442.587,130
44471791,27902,2020-05-01 00:00:00,11292.527,130
44471792,27902,2020-06-01 00:00:00,11143.59,130
44471793,27902,2020-07-01 00:00:00,10994.424,130
44471794,27902,2020-08-01 00:00:00,10846.391,130
44471795,27902,2020-09-01 00:00:00,10697.007,130
44471797,27902,2020-11-01 00:00:00,10399.723,130
44471798,27902,2020-12-01 00:00:00,10249.975,130
44471799,27902,2021-01-01 00:00:00,10289.109,130
44471800,27902,2021-02-01 00:00:00,10327.687,130
44471801,27902,2021-03-01 00:00:00,10364.864,130
44471802,27902,2021-04-01 00:00:00,10403.769,130
44471803,27902,2021-05-01 00:00:00,10443.161,130
44471804,27902,2021-06-01 00:00:00,10481.151,130
44471805,27902,2021-07-01 00:00:00,10518.476,130
44471806,27902,2021-08-01 00:00:00,10555.867,130
44471807,27902,2021-09-01 00:00:00,10594.418,130
44471808,27902,2021-10-01 00:00:00,10632.409,130
44471809,27902,2021-11-01 00:00:00,10670.696,130
44471810,27902,2021-12-01 00:00:00,10709.208,130
44471811,27902,2022-01-01 00:00:00,10775.774,130
44471812,27902,2022-02-01 00:00:00,10842.186,130
44471813,27902,2022-03-01 00:00:00,10909.823,130
44471814,27902,2022-04-01 00:00:00,10977.141,130
44471815,27902,2022-05-01 00:00:00,10084.194,130
44471816,27902,2022-06-01 00:00:00,9192.111,130
44471817,27902,2022-07-01 00:00:00,8300.317,130
44471818,27902,2022-08-01 00:00:00,7407.592,130
44471819,27902,2022-09-01 00:00:00,6514.7847,130
44471820,27902,2022-10-01 00:00:00,5622.7524,130
44471821,27902,2022-11-01 00:00:00,4730.2495,130
44471822,27902,2022-12-01 00:00:00,3837.9263,130
44471823,27902,2023-01-01 00:00:00,2877.9636,130
44472298,27903,2018-12-01 00:00:00,76159.46,130
44472299,27903,2019-01-01 00:00:00,76518.97,130
44472300,27903,2019-02-01 00:00:00,76863.44,130
44472301,27903,2019-03-01 00:00:00,77222.03,130
44472302,27903,2019-04-01 00:00:00,77469.914,130
44472303,27903,2019-05-01 00:00:00,77739.7,130
44472304,27903,2019-06-01 00:00:00,78011.28,130
44472305,27903,2019-07-01 00:00:00,78258.6,130
44472306,27903,2019-08-01 00:00:00,78505.37,130
44472307,27903,2019-09-01 00:00:00,78741.28,130
44472308,27903,2019-10-01 00:00:00,79009.57,130
44472309,27903,2019-11-01 00:00:00,79290.73,130
44472310,27903,2019-12-01 00:00:00,79575.234,130
44472311,27903,2020-01-01 00:00:00,78351.26,130
44472312,27903,2020-02-01 00:00:00,77155.77,130
44472313,27903,2020-03-01 00:00:00,75914.555,130
44472314,27903,2020-04-01 00:00:00,75041.664,130
44472315,27903,2020-05-01 00:00:00,74126.93,130
44472316,27903,2020-06-01 00:00:00,73187.31,130
44472317,27903,2020-07-01 00:00:00,72313.055,130
44472318,27903,2020-08-01 00:00:00,71473.88,130
